,university_name,program_name,tags,duration,tuition,start_date,description,state,city,world_ranking,disciplines,delivered,gpa,gre,toefl,ielts,credits,gpa_yn,university_tier_ranking,gmat_yn,ielts_yn,toefl_yn,gre_yn,fall_start_yn,spring_start_yn,summer_start_yn,desc_len,tuition_per_month
608,University of Massachusetts Boston,Computer Science, M.Sc. ,12.0,35980.0,1/27/2021,university massachusetts boston computer science master program thoroughly prepares students professional careerin software development ,Massachusetts,Boston,201.0,Computer Sciences,On Campus,,Not Required,79.0,6.0,30.0,0,3,0,1,1,0,0,1,0,136,2998.33
614,University of South Dakota,Computer Science, M.Sc. ,24.0,627.0,8/26/2020,computer science program university south dakota dedicated study theoretical foundations information computation application,South Dakota,Vermillion,601.0,Computer Sciences,On Campus,3,Not Required,79.0,6.0,34.83512544802868,1,4,0,1,1,0,1,0,0,124,26.12
617,College of Saint Rose,Information Technology, M.Sc. ,12.0,799.0,1/14/2021,college saint rose person number information technology program offers students small class sizes typically students held computer labs one one access faculty flexible traditional nontraditional students enabling candidates earn degree taking evening online classes,New York,Albany,,Informatics & Information Sciences,On Campus,,Required,80.0,6.0,30.0,0,5,1,1,1,1,0,1,0,265,66.58
619,University of Pittsburgh,Statistics, M.A. ,24.0,39898.0,8/24/2021,department statistics kenneth p dietrich school arts sciences university pittsburgh,Pennsylvania,Pittsburgh,47.0,Statistics,On Campus,2.5,Not Required,90.0,7.0,34.83512544802868,1,1,0,1,1,0,1,0,0,83,1662.42
621,University of Washington,Biostatistics Thesis, M.Sc. ,24.0,18978.0,9/30/2021,biostatistics thesis program university washington combines comprehensive training biostatistical theory methods research based thesis,Washington,Seattle,10.0,Public Health,On Campus,2.75,Not Required,120.0,0.0,36.0,1,1,0,1,1,0,1,0,0,134,790.75
623,Nova Southeastern University,Computer Science, M.Sc. ,24.0,755.0,8/20/2020,master science computer science ten course credit hour degree program designed give students advanced knowledge field provide enduring foundation future professional growth offered online campus south florida master science computer science degree program blends theory practice learning experience,Florida,Davie,301.0,Computer Sciences,On Campus,3,Not Required,79.0,6.0,34.83512544802868,1,3,0,1,1,0,1,0,0,298,31.46
624,Central Michigan University,Computer Science, M.Sc. ,12.0,850.0,8/17/2021,computer science program central michigan university provides students opportunity obtain advanced knowledge skills computer science information technology area detailed technical level ,Michigan,Mount Pleasant,1194.0,Computer Sciences,On Campus,3,Required,79.0,0.0,34.83512544802868,1,4,0,1,1,1,1,0,0,186,70.83
631,Rutgers University,Statistics, M.Sc. ,12.0,15072.0,,statistics department offers m andph degrees statistics rutgers university  ph degree intended students strong mathematical backgrounds wishing pursue research oriented careers academia industry ,New Jersey,New Brunswick,101.0,Biology,On Campus,2.7,Not Required,83.0,7.0,34.83512544802868,1,2,0,1,1,0,0,0,0,195,1256.0
632,University of North Texas,Computer Science, M.Sc. ,12.0,17172.0,5/13/2021,department computer science engineering university north texas offers coursework leading master science degree computer science computer engineering doctor philosophy degree computer science engineering,Texas,Denton,401.0,Computer Sciences,On Campus,,Not Required,79.0,6.0,30.0,0,3,0,1,1,0,0,0,1,202,1431.0
637,University of Memphis,Accounting - Data Analytics Concentration, M.Sc. ,12.0,887.0,8/27/2020,hour master program provides students corporate governance perspective emphasizes accounting service oriented economy,Tennessee,Memphis,1104.0,Accounting,nan,3,Not Required,79.0,6.0,40.0,1,4,0,1,1,0,1,0,0,117,73.92
638,"University of California, Davis",Biostatistics, M.Sc. ,12.0,11442.0,3/26/2021,biostatistics offered university california davis applies quantitative methods study problems related life sciences arise broad array fields,California,Davis,55.0,Biology,On Campus,3,Required,80.0,7.0,60.0,1,2,0,1,1,1,0,1,0,140,953.5
641,San Diego State University,Applied Mathematics, M.Sc. ,12.0,8944.0,8/22/2020,san diego state university program master science applied mathematics provides excellent course work research opportunities modern applied mathematics emphasis computing mathematical modeling real world applications blended skills mathematics statistics numerics cutting edge research topics big data cloud computing,California,San Diego,501.0,Applied Mathematics,On Campus,3,Not Required,80.0,6.5,36.0,1,4,1,1,1,0,1,0,0,316,745.33
644,Northwestern University,Information Systems, M.Sc. ,24.0,4630.0,9/21/2020,information systems program northwestern universityprepares graduates advance careers management move career progress management level,Illinois,Evanston,22.0,Informatics & Information Sciences,On Campus,2.85,Not Required,100.0,7.0,34.83512544802868,1,1,0,1,1,0,1,0,0,134,192.92
649,George Mason University,Biostatistics, M.Sc. ,12.0,27720.0,1/15/2021,ms biostatistics george mason universitywill allow students specialize design analysis health relatednand biological studies maintaining rigor technical training statistical sciencenmaster program,Virginia,Fairfax,201.0,Biology,On Campus,3.3,Not Required,88.0,7.0,34.83512544802868,1,3,0,1,1,0,0,1,0,196,2310.0
